           REGISTRO DE FALTAS
========================================
Licencia       Fecha         Placa
47528229     03/09/2019     T8Y-354
30046639     22/03/2020     P6I-223
15559308     05/09/2020     W1S-239
87495937     10/05/2019     Z8C-558
80310768     26/10/2019     M1E-751
58992942     22/03/2020     V7O-315
21621497     20/02/2019     Z7C-785
12443643     30/08/2020     R8H-409
71578206     04/02/2019     L4H-670
90467829     25/09/2020     H1R-953
89314225     26/01/2020     C3A-423
87495937     29/05/2020     M5G-669
80310768     28/08/2020     N5J-515
79672079     07/09/2019     Y3Q-331
21621497     05/06/2020     Z7C-785
81485316     31/08/2019     E1N-544
12443643     17/05/2020     R8H-409
30046639     19/01/2019     P6I-223
81799482     22/01/2019     V7P-711
49428502     20/10/2020     T0V-569
53374153     05/10/2020     V7L-069
32090869     01/11/2020     L4B-291
50200823     11/03/2019     R0P-255
54447051     30/06/2019     G3Y-654
82031355     04/10/2019     J0J-790
34248357     31/12/2020     H4R-733
66849703     12/06/2020     B4N-777
70414420     30/04/2020     V9J-051
16477908     02/01/2019     W7C-957
88167677     08/10/2020     B4C-100
51929951     29/05/2020     O8J-848
29989682     13/12/2020     W3T-571
30441350     23/07/2020     X0F-315
88167677     12/06/2019     Y4Y-028
48878256     02/07/2019     W6Z-142
50200823     08/07/2019     Q6C-943
15559308     08/02/2019     X6O-905
77763722     19/03/2020     A1Q-612
60335381     20/10/2019     E6T-667
68310808     30/04/2020     K2N-341
58992942     23/02/2019     Q6B-243
19963454     11/02/2019     D9A-711
50201756     15/09/2019     K5K-595
90467829     04/01/2019     H1R-953
73972114     11/04/2020     D8H-157
77367073     22/03/2020     W4W-684
47844324     05/12/2019     X7J-719
16136330     21/05/2019     E3U-231
21621497     15/03/2020     R5I-860
30046639     31/01/2020     P6I-223
68310808     14/02/2020     I3A-223
79641328     19/05/2019     X8Q-687
15029228     08/10/2019     C0P-895
54141214     05/05/2020     Y9G-536
82031355     27/11/2019     Z5D-724
81485316     05/01/2019     F1O-596
32244565     20/11/2019     W9L-468
49927087     23/01/2020     X3E-271
35671623     21/02/2020     V4E-749
15559308     25/03/2019     S3L-803
87282766     29/10/2019     S1D-093
50200823     12/03/2020     R0P-255
73567806     20/07/2020     W9Z-281
90467829     28/09/2019     C9H-661
13628871     10/12/2020     F3E-797
79672079     25/08/2019     O3H-954
53853385     21/05/2019     T9X-217
15029228     19/03/2019     J0Q-121
12858682     08/06/2019     T5L-371
73972114     25/08/2020     D8H-157
47844324     02/11/2020     X7J-719
88167677     03/02/2020     B4C-100
68310808     20/05/2020     W8F-397
32244565     14/08/2019     J1E-736
48878256     25/12/2020     W6Z-142
51929951     23/11/2020     O8J-848
30441350     15/01/2020     X0F-315
15559308     06/02/2020     T8F-368
77367073     25/09/2019     W4W-684
81528434     26/07/2020     B3U-020
16477908     27/10/2019     W7C-957
35297848     04/01/2020     O7D-970
12443643     27/07/2019     R8H-409
34248357     11/09/2020     R7N-062
70414420     12/10/2019     V9J-051
32244565     13/05/2019     K4F-319
88167677     10/01/2019     B4C-100
51929951     12/01/2020     O8J-848
21621497     30/01/2019     W5W-525
50201756     12/01/2020     X8O-807
42956681     19/07/2020     A6D-661
75348522     03/10/2019     E1L-705
79641328     02/07/2019     X8Q-687
13219606     04/09/2019     T3B-722
35297848     19/10/2019     O7D-970
87495937     21/12/2019     L2H-207
35912665     12/06/2020     O2Z-308
35912665     01/06/2020     O2Z-308
79641328     19/03/2020     L0L-653
49927087     11/08/2019     X3E-271
44346371     08/07/2020     S4J-282
37080813     03/07/2020     P7E-145
87282766     10/05/2020     S1D-093
79672079     25/05/2020     O3H-954
75945248     13/05/2019     K6X-977
26522329     09/05/2020     W7R-114
60335381     31/12/2019     E6T-667
34976629     19/06/2020     J8B-303
85501710     15/10/2020     Z4K-431
47528229     14/02/2019     T8Y-354
19963454     07/06/2019     D9A-711
90467829     06/02/2019     K4H-445
82870470     26/04/2020     C4O-436
81799482     11/06/2019     V7P-711
64532449     23/01/2019     X3Z-285
96693273     12/02/2019     C0G-556
85501710     02/07/2019     Z4K-431
12270502     21/12/2019     P7T-999
15115705     16/03/2020     N9Q-814
36079131     12/06/2019     H5S-788
73357516     22/08/2020     E6R-293
82031355     23/10/2019     H6X-124
12270502     18/06/2020     P7T-999
89941095     27/07/2019     P6T-244
52002275     12/04/2020     J8N-930
42956681     30/04/2020     E0L-862
49927087     22/05/2019     G7B-252
24859596     11/12/2020     B8B-326
60335381     28/08/2020     B3U-845
64532449     19/02/2020     K8R-348
47528229     11/11/2020     I4H-529
39244942     15/04/2020     N5Y-450
38862473     06/09/2020     K3B-165
35912665     31/08/2020     O2Z-308
84186239     11/04/2019     T6W-978
68310808     18/07/2020     K2N-341
82870470     22/09/2019     C4O-436
58992942     29/11/2020     H8M-598
48450395     25/05/2020     G1P-591
49927087     19/09/2019     G7B-252
63736112     21/05/2020     T9A-930
66849703     29/07/2020     B4N-777
16477908     19/04/2020     I0E-459
35671623     09/01/2019     K0T-350
44346371     04/09/2019     S4J-282
47528229     27/03/2020     T8Y-354
21621497     30/12/2020     D6W-048
84186239     18/01/2020     W9Y-717
24859596     16/04/2020     A8P-118
21621497     11/10/2020     W5W-525
88167677     06/03/2019     V7U-622
68310808     23/12/2020     W8F-397
12270502     21/10/2020     P7T-999
53374153     04/01/2020     V7L-069
74325123     31/05/2019     V9F-655
27185429     01/02/2020     U3F-754
64178096     14/08/2020     B7V-643
73567806     14/02/2019     A7Y-833
32244565     20/12/2019     W9L-468
54141214     12/08/2020     G2I-709
